Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
VOLKSWAGEN;VW JETTA TL AF;TABELA A – CARROS;151246,00;G;;;;;;;;;;;R$ 71.464,00;R$ 67.836,00;;;;;;;;;;;;;
VOLKSWAGEN;VW POLO GTI;TABELA A – CARROS;112262,00;G;;;;;;;;;;;;;;;;;;;;;R$ 30.967,00;;;;
VOLKSWAGEN;UP TAKE MCV;TABELA A – CARROS;151254,00;G;;;;;;;;;;;R$ 29.241,00;;;;;;;;;;;;;;
VOLKSWAGEN;UP CROSS MCV;TABELA A – CARROS;151253,00;G;;;;;;;;;;;R$ 38.056,00;;;;;;;;;;;;;;
VOLKSWAGEN;UP CROSS SCV;TABELA A – CARROS;151252,00;G;;;;;;;;;;;R$ 40.575,00;;;;;;;;;;;;;;
VOLKSWAGEN;UP MOVE SCV;TABELA A – CARROS;151248,00;G;;;;;;;;;;;R$ 38.712,00;;;;;;;;;;;;;;
VOLKSWAGEN;VW PASSAT VAR PRO FN;TABELA A – CARROS;151247,00;G;;;;;;;;;;;;;;;;;;R$ 39.771,00;;;;;;;
VOLKSWAGEN;PARATI 1.8;TABELA A – CARROS;116638,00;G;;;;;;;;;;;;;;;;;;R$ 22.252,00;R$ 20.469,00;R$ 19.483,00;R$ 19.224,00;R$ 18.047,00;R$ 17.006,00;R$ 15.680,00;R$ 12.444,00
VOLKSWAGEN;PARATI 16VT EVIDENCE;TABELA A – CARROS;116651,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 15.233,00;R$ 13.727,00
VOLKSWAGEN;PARATI 16VT CROSSOVER;TABELA A – CARROS;116650,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 14.946,00;R$ 13.428,00
VOLKSWAGEN;PARATI 16V SUNSET;TABELA A – CARROS;116649,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 11.972,00
VOLKSWAGEN;PARATI 2.0 TOUR;TABELA A – CARROS;116648,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 15.128,00;R$ 14.351,00
VOLKSWAGEN;PARATI 1.8 TOUR;TABELA A – CARROS;116647,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 15.955,00;R$ 13.977,00
VOLKSWAGEN;PARATI PLUS 1.6;TABELA A – CARROS;116646,00;G;;;;;;;;;;;;;;;;;;;R$ 21.442,00;;;;R$ 16.272,00;;
VOLKSWAGEN;PARATI 16V TOUR;TABELA A – CARROS;116644,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 13.588,00
VOLKSWAGEN;SANTANA CL 1800 I;TABELA A – CARROS;117023,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 12.738,00
VOLKSWAGEN;PARATI 2.0;TABELA A – CARROS;116640,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 17.324,00;R$ 15.963,00
VOLKSWAGEN;PARATI 1.8 EVIDENCE;TABELA A – CARROS;116654,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 15.234,00;R$ 13.820,00
VOLKSWAGEN;PARATI AMBULANCIA 1.6;TABELA A – CARROS;116637,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 17.417,00;R$ 15.699,00;R$ 14.633,00;R$ 14.014,00
VOLKSWAGEN;PARATI PATRULH.1.8;TABELA A – CARROS;116636,00;G;;;;;;;;;;;;;;;;;;;R$ 20.472,00;R$ 19.482,00;R$ 19.229,00;R$ 18.085,00;R$ 17.010,00;R$ 15.675,00;R$ 12.449,00
VOLKSWAGEN;PARATI PATRULH.1.6;TABELA A – CARROS;116635,00;G;;;;;;;;;;;;;;;;;;R$ 23.505,00;R$ 21.503,00;R$ 20.222,00;R$ 19.019,00;R$ 16.579,00;R$ 15.476,00;;
VOLKSWAGEN;PARATI 1.6;TABELA A – CARROS;116634,00;G;;;;;;;;;;;;;;R$ 28.483,00;R$ 27.615,00;R$ 25.489,00;R$ 23.436,00;R$ 21.638,00;R$ 19.243,00;R$ 18.650,00;R$ 17.742,00;R$ 16.415,00;R$ 15.320,00;R$ 14.280,00;R$ 13.668,00
VOLKSWAGEN;PARATI CELA 1.6;TABELA A – CARROS;116633,00;G;;;;;;;;;;;;;;;;;R$ 23.400,00;R$ 21.932,00;R$ 20.982,00;R$ 19.980,00;R$ 18.331,00;R$ 16.819,00;R$ 15.431,00;R$ 14.159,00;R$ 12.991,00
VOLKSWAGEN;PARATI AMBULANCIA 1.8;TABELA A – CARROS;116632,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 16.111,00;R$ 14.851,00;R$ 14.321,00
VOLKSWAGEN;PARATI CELA 1.8;TABELA A – CARROS;116631,00;G;;;;;;;;;;;;;;;;;;;R$ 20.986,00;R$ 19.982,00;R$ 19.035,00;;;;
VOLKSWAGEN;PARATI 16V PLUS;TABELA A – CARROS;116628,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 11.651,00
VOLKSWAGEN;PARATI 16V TURBO;TABELA A – CARROS;116641,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 14.508,00;R$ 14.016,00;R$ 11.227,00
