Categoria;Fabricante;Cód.;Modelo;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
TABELA A – CARROS;ACURA;147704,00;ACURA RSX;G;;;;;;;;;;;;;;;;;;;;;R$ 28.059,00;;;;
TABELA A – CARROS;ACURA;147706,00;HONDA ACURA TL;G;;;;;;;;;;;;;;;;;;;;;;;R$ 62.707,00;;
TABELA A – CARROS;ACURA;147708,00;ACURA TL;G;;;;;;;;;;;;;;;;;;R$ 111.368,00;;;;;;;
TABELA A – CARROS;ACURA;147703,00;ACURA ZDX;G;;;;;;;;;;;;;;;;;R$ 119.636,00;;;;;;;;
TABELA A – CARROS;ACURA;147701,00;ACURA MDX;G;;;;;;;;;;;;;;;;;;;;R$ 68.202,00;;;R$ 60.412,00;;
TABELA A – CARROS;ACURA;147705,00;HONDA ACURA TL 3.5;G;;;;;;;;;;;;;;;;;R$ 55.576,00;;;;;;;;
TABELA A – CARROS;AGRALE;167410,00;BX50 NICE;G;;;;;;;;;;;;;;;;R$ 3.389,00;;;;;;;;;
TABELA A – CARROS;ALFA ROMEO;105820,00;ALFA ROMEO GIULIETTA;G;;;;;;;;;;;;;;;;R$ 49.755,00;;;;;;;;;
TABELA A – CARROS;ALFA ROMEO;105813,00;ALFA ROMEU SPIDER 2.2;G;;;;;;;;;;;;;;;;;;;;R$ 72.494,00;;;;;
TABELA A – CARROS;ALFA ROMEO;105812,00;ALFA ROMEO 159;G;;;;;;;;;;;;;;;;;R$ 69.286,00;R$ 64.999,00;R$ 60.978,00;R$ 57.206,00;R$ 55.529,00;;;;
TABELA A – CARROS;ALFA ROMEO;105810,00;ALFA ROMEO 147;G;;;;;;;;;;;;;;;;;;;;;;R$ 48.619,00;R$ 40.807,00;R$ 32.970,00;R$ 29.749,00
TABELA A – CARROS;ALFA ROMEO;105809,00;ALFA ROMEO 156 SW;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 25.385,00
TABELA A – CARROS;ALFA ROMEO;105808,00;ALFA ROMEO 166;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 44.546,00
