Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
ACURA;ACURA RSX;TABELA A – CARROS;147704,00;G;;;;;;;;;;;;;;;;;;;;;R$ 28.059,00;;;;
ACURA;HONDA ACURA TL;TABELA A – CARROS;147706,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 62.707,00;;
ACURA;ACURA TL;TABELA A – CARROS;147708,00;G;;;;;;;;;;;;;;;;;;R$ 111.368,00;;;;;;;
ACURA;ACURA ZDX;TABELA A – CARROS;147703,00;G;;;;;;;;;;;;;;;;;R$ 119.636,00;;;;;;;;
ACURA;ACURA MDX;TABELA A – CARROS;147701,00;G;;;;;;;;;;;;;;;;;;;;R$ 68.202,00;;;R$ 60.412,00;;
ACURA;HONDA ACURA TL 3.5;TABELA A – CARROS;147705,00;G;;;;;;;;;;;;;;;;;R$ 55.576,00;;;;;;;;
AGRALE;BX50 NICE;TABELA A – CARROS;167410,00;G;;;;;;;;;;;;;;;;R$ 3.389,00;;;;;;;;;
ALFA ROMEO;ALFA ROMEO GIULIETTA;TABELA A – CARROS;105820,00;G;;;;;;;;;;;;;;;;R$ 49.755,00;;;;;;;;;
ALFA ROMEO;ALFA ROMEU SPIDER 2.2;TABELA A – CARROS;105813,00;G;;;;;;;;;;;;;;;;;;;;R$ 72.494,00;;;;;
ALFA ROMEO;ALFA ROMEO 159;TABELA A – CARROS;105812,00;G;;;;;;;;;;;;;;;;;R$ 69.286,00;R$ 64.999,00;R$ 60.978,00;R$ 57.206,00;R$ 55.529,00;;;;
ALFA ROMEO;ALFA ROMEO 147;TABELA A – CARROS;105810,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 48.619,00;R$ 40.807,00;R$ 32.970,00;R$ 29.749,00
ALFA ROMEO;ALFA ROMEO 156 SW;TABELA A – CARROS;105809,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 25.385,00
ALFA ROMEO;ALFA ROMEO 166;TABELA A – CARROS;105808,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 44.546,00
ALFA ROMEO;ALFA ROMEO 156;TABELA A – CARROS;105807,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 33.378,00;R$ 26.916,00
ALFA ROMEO;ALFA ROMEO 159 2.2 JTS;TABELA A – CARROS;105814,00;G;;;;;;;;;;;;;;;;;;;;R$ 49.450,00;;;;;
ALFA ROMEO;ALFA ROMEO 156 JTD 2.4;TABELA A – CARROS;105819,00;D;;;;;;;;;;;;;;;;;;;;;;;;;R$ 26.635,00
ALFA ROMEO;ALFA ROMEO 8C SPIDER;TABELA A – CARROS;105818,00;G;;;;;;;;;;;;;;;;;R$ 431.561,00;;;;;;;;
AMERICAR;CLASSIC 427;TABELA A – CARROS;160900,00;G;;;;;;;;;;;;;;R$ 35.195,00;R$ 33.214,00;;;R$ 26.495,00;R$ 25.754,00;R$ 24.366,00;R$ 22.493,00;R$ 19.999,00;R$ 18.993,00;R$ 18.230,00;R$ 17.503,00
ASA;CAUYPE SPORT;TABELA A – CARROS;161000,00;G;;;;;;;;;;;;;R$ 15.924,00;R$ 14.952,00;R$ 14.040,00;R$ 13.536,00;R$ 11.429,00;R$ 10.646,00;R$ 9.556,00;;;R$ 7.645,00;R$ 7.221,00;;
"ASTON
MARTIN";ASTON MARTIN DB9 COUPE;TABELA A – CARROS;105008,00;G;;;;;;;;;;;;;;R$ 523.713,00;;;R$ 461.969,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN DBS;TABELA A – CARROS;105005,00;G;;;;;;;;;;;;;;;;;;;R$ 621.013,00;;;;;;
"ASTON
MARTIN";ASTON MARTIN VANTAGE;TABELA A – CARROS;105003,00;G;;;;;;;;;;;;;;;;;;R$ 346.050,00;;;R$ 213.922,00;;;;
"ASTON
MARTIN";ASTON MARTIN DBS CABRI;TABELA A – CARROS;105009,00;G;;;;;;;;;;;;;;;;;R$ 587.050,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN DBS COUPE;TABELA A – CARROS;105011,00;G;;;;;;;;;;;;;;;R$ 769.391,00;R$ 725.391,00;R$ 608.658,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN DB9 CABRI;TABELA A – CARROS;105007,00;G;;;;;;;;;;;;;;;;;R$ 497.371,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN V8VANT CA;TABELA A – CARROS;105010,00;G;;;;;;;;;;;;;;;;;R$ 348.279,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN RAPIDE S;TABELA A – CARROS;105019,00;G;;;;;;;;;;;;;R$ 1.159.110,00;;;;;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN RAPIDE CP;TABELA A – CARROS;105012,00;G;;;;;;;;;;;;;R$ 693.907,00;R$ 663.911,00;R$ 635.212,00;R$ 607.753,00;R$ 578.813,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN RAPIDE;TABELA A – CARROS;105013,00;G;;;;;;;;;;;;;;;;;R$ 578.813,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN V12VANTAG;TABELA A – CARROS;105014,00;G;;;;;;;;;;;;;R$ 831.243,00;;R$ 705.465,00;R$ 671.873,00;R$ 598.718,00;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN VIRAGE CP;TABELA A – CARROS;105016,00;G;;;;;;;;;;;;;;R$ 828.543,00;R$ 802.792,00;R$ 777.841,00;;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN V8VAN SCP;TABELA A – CARROS;105017,00;G;;;;;;;;;;;;;;R$ 452.853,00;R$ 429.726,00;R$ 407.780,00;;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN VANQUISH;TABELA A – CARROS;105018,00;G;;;;;;;;;;;;;R$ 1.504.211,00;R$ 1.439.084,00;;;;;;;;;;;
"ASTON
MARTIN";ASTON MARTIN RAPIDE LX;TABELA A – CARROS;105015,00;G;;;;;;;;;;;;;;;R$ 850.238,00;R$ 827.754,00;;;;;;;;;
AUDI;AUDI A6 AVANT 3.0TFSI;TABELA A – CARROS;106156,00;G;;;;;;;;;;;;;;R$ 223.202,00;R$ 217.867,00;;;;;;;;;;
AUDI;AUDI A7 3.0TFSI;TABELA A – CARROS;106147,00;G;;;;;;;;;;;;;R$ 238.061,00;R$ 200.970,00;R$ 166.621,00;R$ 146.764,00;;;;;;;;;
AUDI;AUDI A1 1.4TFSI;TABELA A – CARROS;106148,00;G;;;;;;;;;;;;R$ 65.732,00;;R$ 59.350,00;R$ 55.174,00;R$ 52.319,00;;;;;;;;;
AUDI;AUDI TTS RD PRESTIGE;TABELA A – CARROS;106149,00;G;;;;;;;;;;;;;;;;R$ 165.264,00;;;;;;;;;
AUDI;AUDI A8 L;TABELA A – CARROS;106150,00;G;;;;;;;;;;;;R$ 330.601,00;;;;R$ 230.747,00;;;;;;;;;
AUDI;AUDI A5 CB 225CV;TABELA A – CARROS;106198,00;G;;;;;;;;;;;;R$ 190.197,00;R$ 168.507,00;R$ 161.240,00;;;;;;;;;;;
AUDI;AUDI A8 L 6.3FSI;TABELA A – CARROS;106152,00;G;;;;;;;;;;;;;;R$ 503.807,00;R$ 475.666,00;R$ 449.096,00;;;;;;;;;
AUDI;AUDI TTRS CP 2.5TFSI;TABELA A – CARROS;106158,00;G;;;;;;;;;;;;;;R$ 238.378,00;R$ 230.046,00;;;;;;;;;;
AUDI;AUDI TT RS 2.5T;TABELA A – CARROS;106155,00;G;;;;;;;;;;;;;;;;R$ 221.627,00;;;;;;;;;
AUDI;AUDI A5 C PREMIUM PLUS;TABELA A – CARROS;106157,00;G;;;;;;;;;;;;;;;;R$ 164.337,00;;;;;;;;;
AUDI;AUDI A6 AVANT 3.0T FSI;TABELA A – CARROS;106122,00;G;;;;;;;;;;;;;;;;;R$ 142.149,00;R$ 133.230,00;;;;;;;
AUDI;AUDI TTRS RD 2.5TFSI;TABELA A – CARROS;106159,00;G;;;;;;;;;;;;;;R$ 276.163,00;R$ 250.823,00;;;;;;;;;;
AUDI;AUDI TT RD 2.0TFSI;TABELA A – CARROS;106145,00;G;;;;;;;;;;;;R$ 196.146,00;R$ 172.001,00;R$ 149.577,00;R$ 141.163,00;R$ 135.615,00;R$ 130.244,00;;;;;;;;
AUDI;AUDI RS3 2.5TFSI;TABELA A – CARROS;106160,00;G;;;;;;;;;;;;;;R$ 221.265,00;R$ 187.009,00;R$ 172.724,00;;;;;;;;;
AUDI;AUDI A7;TABELA A – CARROS;106154,00;G;;;;;;;;;;;;;;;;R$ 146.764,00;;;;;;;;;
AUDI;AUDI R8 5.2 V10 SPYDER;TABELA A – CARROS;106136,00;G;;;;;;;;;;;;R$ 723.489,00;R$ 657.325,00;R$ 578.593,00;R$ 554.839,00;R$ 492.713,00;R$ 465.060,00;;;;;;;;
AUDI;AUDI A8 4.0TFSI;TABELA A – CARROS;106181,00;G;;;;;;;;;;;;;;R$ 406.002,00;;;;;;;;;;;
AUDI;AUDI S5 CP 3.0TFSI;TABELA A – CARROS;106161,00;G;;;;;;;;;;;;;R$ 260.976,00;R$ 250.661,00;R$ 210.703,00;;;;;;;;;;
AUDI;AUDI S3 2.0 TURBO FSI;TABELA A – CARROS;106124,00;G;;;;;;;;;;;;;;R$ 125.989,00;R$ 117.853,00;R$ 100.932,00;R$ 94.054,00;R$ 87.058,00;;;;;;;
AUDI;AUDI TTS RD 2.0T 272CV;TABELA A – CARROS;106126,00;G;;;;;;;;;;;;;;;R$ 193.597,00;R$ 165.264,00;R$ 144.936,00;R$ 143.031,00;;;;;;;
AUDI;AUDI A3 2.0T FSI;TABELA A – CARROS;106132,00;G;;;;;;;;;;;;;;R$ 62.711,00;R$ 59.004,00;R$ 55.838,00;R$ 46.101,00;R$ 44.377,00;;;;;;;
AUDI;AUDI R8 5.2 V10 FSI;TABELA A – CARROS;106133,00;G;;;;;;;;;;;;;;R$ 570.624,00;R$ 535.081,00;R$ 495.241,00;R$ 445.524,00;R$ 392.570,00;;;;;;;
AUDI;AUDI TTS CP 2.0T 272CV;TABELA A – CARROS;106125,00;G;;;;;;;;;;;;;;R$ 191.112,00;R$ 163.656,00;R$ 137.690,00;R$ 127.913,00;R$ 126.144,00;;;;;;;
AUDI;AUDI A5 SPB 2.0TFSI;TABELA A – CARROS;106135,00;G;;;;;;;;;;;;R$ 138.577,00;R$ 126.666,00;R$ 110.757,00;R$ 105.257,00;R$ 84.938,00;R$ 80.691,00;;;;;;;;
AUDI;AUDI S4 SEDAN;TABELA A – CARROS;106143,00;G;;;;;;;;;;;;;;;R$ 194.305,00;R$ 181.911,00;R$ 170.307,00;;;;;;;;
AUDI;AUDI RS6 AV 5.0TFSI;TABELA A – CARROS;106137,00;G;;;;;;;;;;;;;;;;;R$ 344.310,00;R$ 338.006,00;;;;;;;
AUDI;AUDI RS6 5.0TFSI;TABELA A – CARROS;106138,00;G;;;;;;;;;;;;;;;;;R$ 314.137,00;R$ 299.999,00;;;;;;;
AUDI;AUDI S4;TABELA A – CARROS;106139,00;G;;;;;;;;;;;;;;;;;R$ 107.689,00;;;;;;;;
AUDI;AUDI A5 PREMIUM;TABELA A – CARROS;106140,00;G;;;;;;;;;;;;;;;;;R$ 94.838,00;R$ 90.797,00;;;;;;;
AUDI;AUDI R8 COUPE;TABELA A – CARROS;106141,00;G;;;;;;;;;;;;;;;;;R$ 384.506,00;;;;;;;;
AUDI;AUDI RS5 4.2FSI;TABELA A – CARROS;106142,00;G;;;;;;;;;;;;R$ 365.869,00;R$ 341.758,00;R$ 297.582,00;R$ 291.060,00;R$ 230.203,00;R$ 222.270,00;;;;;;;;
AUDI;AUDI TTS COUPE;TABELA A – CARROS;106134,00;G;;;;;;;;;;;;;;;;R$ 137.690,00;;R$ 126.144,00;;;;;;;
AUDI;AUDI R8 5.2 V10 SPORT;TABELA A – CARROS;106189,00;G;;;;;;;;;;;;R$ 732.492,00;R$ 704.912,00;R$ 677.830,00;;;;;;;;;;;
AUDI;AUDI R8 5.2 V10 GT;TABELA A – CARROS;106151,00;G;;;;;;;;;;;;;;;R$ 795.381,00;R$ 749.896,00;;;;;;;;;
AUDI;AUDI S8 4.0TFSI;TABELA A – CARROS;106182,00;G;;;;;;;;;;;;;;R$ 411.930,00;R$ 384.941,00;;;;;;;;;;
AUDI;AUDI A1 QUATTRO;TABELA A – CARROS;106183,00;G;;;;;;;;;;;;;;R$ 170.439,00;R$ 160.848,00;;;;;;;;;;
AUDI;AUDI RS4 AVANT 4.2FSI;TABELA A – CARROS;106184,00;G;;;;;;;;;;;;R$ 351.799,00;R$ 335.082,00;R$ 316.182,00;;;;;;;;;;;
AUDI;AUDI A6 3.0TFSI ALLR;TABELA A – CARROS;106185,00;G;;;;;;;;;;;;;R$ 252.272,00;R$ 229.357,00;R$ 225.101,00;;;;;;;;;;
AUDI;AUDI S7 4.0TFSI;TABELA A – CARROS;106179,00;G;;;;;;;;;;;;;R$ 328.736,00;R$ 314.864,00;R$ 311.952,00;;;;;;;;;;
AUDI;AUDI A3 SPB 1.8TFSI;TABELA A – CARROS;106188,00;G;;;;;;;;;;;R$ 113.365,00;R$ 96.743,00;R$ 85.911,00;R$ 83.563,00;;;;;;;;;;;
AUDI;AUDI S6 4.0TFSI;TABELA A – CARROS;106178,00;G;;;;;;;;;;;;;R$ 327.842,00;R$ 322.606,00;R$ 315.570,00;;;;;;;;;;
AUDI;AUDI A3 1.4TFSI;TABELA A – CARROS;106192,00;G;;;;;;;;;;;;R$ 81.208,00;R$ 73.014,00;;;;;;;;;;;;
AUDI;AUDI A3 SPB 1.4TFSI;TABELA A – CARROS;106193,00;G;;;;;;;;;;;;R$ 77.915,00;R$ 73.014,00;R$ 70.356,00;;;;;;;;;;;
AUDI;AUDI A6 3.0 QUATTRO PR;TABELA A – CARROS;106194,00;G;;;;;;;;;;;;;;R$ 179.498,00;;;;;;;;;;;
AUDI;AUDI S3 SPB 2.0TFSI;TABELA A – CARROS;106195,00;G;;;;;;;;;;;;;R$ 140.071,00;R$ 129.084,00;;;;;;;;;;;
